cell_type	sample	estimate	method	status
Eosinophils	TCGA-CE-A27D-01	4.73257370416586e-19	xcell	formal_relative_enrichment
Epithelial cells	TCGA-CE-A27D-01	0.109557910707817	xcell	formal_relative_enrichment
Erythrocytes	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Fibroblasts	TCGA-CE-A27D-01	0.115629740606431	xcell	formal_relative_enrichment
GMP	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
HSC	TCGA-CE-A27D-01	0.389013052662567	xcell	formal_relative_enrichment
Hepatocytes	TCGA-CE-A27D-01	0.00510994684387122	xcell	formal_relative_enrichment
Keratinocytes	TCGA-CE-A27D-01	0.0193793387507011	xcell	formal_relative_enrichment
MEP	TCGA-CE-A27D-01	0.0137836813351195	xcell	formal_relative_enrichment
MPP	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
MSC	TCGA-CE-A27D-01	0.0388178166099094	xcell	formal_relative_enrichment
Macrophages	TCGA-CE-A27D-01	0.000588385434433492	xcell	formal_relative_enrichment
Macrophages M1	TCGA-CE-A27D-01	0.0218349060504769	xcell	formal_relative_enrichment
Macrophages M2	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Mast cells	TCGA-CE-A27D-01	0.0178324500977152	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-CE-A27D-01	0.00652275494984675	xcell	formal_relative_enrichment
Melanocytes	TCGA-CE-A27D-01	0.0124188050781248	xcell	formal_relative_enrichment
Memory B-cells	TCGA-CE-A27D-01	0.0201220836830019	xcell	formal_relative_enrichment
Mesangial cells	TCGA-CE-A27D-01	0.0350405149478303	xcell	formal_relative_enrichment
Monocytes	TCGA-CE-A27D-01	1.8347150396127e-17	xcell	formal_relative_enrichment
Myocytes	TCGA-CE-A27D-01	0.00159467651994706	xcell	formal_relative_enrichment
NK cells	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
NKT	TCGA-CE-A27D-01	0.0943210794666103	xcell	formal_relative_enrichment
Neurons	TCGA-CE-A27D-01	0.00517861291934733	xcell	formal_relative_enrichment
Neutrophils	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Osteoblast	TCGA-CE-A27D-01	0.0163958138663387	xcell	formal_relative_enrichment
Pericytes	TCGA-CE-A27D-01	0.0350778349384707	xcell	formal_relative_enrichment
Plasma cells	TCGA-CE-A27D-01	0.0136093275241845	xcell	formal_relative_enrichment
Platelets	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-CE-A27D-01	0.0434382328188106	xcell	formal_relative_enrichment
Sebocytes	TCGA-CE-A27D-01	0.0027624157990397	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-CE-A27D-01	0.000108496239693812	xcell	formal_relative_enrichment
Smooth muscle	TCGA-CE-A27D-01	0.193982863249284	xcell	formal_relative_enrichment
Tgd cells	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
Th1 cells	TCGA-CE-A27D-01	0.0494267026411769	xcell	formal_relative_enrichment
Th2 cells	TCGA-CE-A27D-01	0.0103923630815788	xcell	formal_relative_enrichment
Tregs	TCGA-CE-A27D-01	7.57951076036719e-19	xcell	formal_relative_enrichment
aDC	TCGA-CE-A27D-01	0.514683573618625	xcell	formal_relative_enrichment
cDC	TCGA-CE-A27D-01	0.0642178003503982	xcell	formal_relative_enrichment
iDC	TCGA-CE-A27D-01	0	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-CE-A27D-01	0.0584576300076373	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-CE-A27D-01	0.09632670196052	xcell	formal_relative_enrichment
naive B-cells	TCGA-CE-A27D-01	0.00239584014939904	xcell	formal_relative_enrichment
pDC	TCGA-CE-A27D-01	8.99462248643567e-18	xcell	formal_relative_enrichment
pro B-cells	TCGA-CE-A27D-01	1.39100848093462e-17	xcell	formal_relative_enrichment
ImmuneScore	TCGA-CE-A27D-01	0.0662603605724732	xcell	formal_relative_enrichment
StromaScore	TCGA-CE-A27D-01	0.137787868120019	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-CE-A27D-01	0.204048228692492	xcell	formal_relative_enrichment
Adipocytes	TCGA-EL-A4K2-01	9.10783171160438e-20	xcell	formal_relative_enrichment
Astrocytes	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
B-cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
Basophils	TCGA-EL-A4K2-01	0.115146584299925	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-EL-A4K2-01	1.07236973479969e-18	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-EL-A4K2-01	0.0626780183369226	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-EL-A4K2-01	0.00255240384254808	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-EL-A4K2-01	4.68515931973236e-18	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-EL-A4K2-01	2.4948829090237e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-EL-A4K2-01	7.61213380529304e-21	xcell	formal_relative_enrichment
CLP	TCGA-EL-A4K2-01	0.00805766445628809	xcell	formal_relative_enrichment
CMP	TCGA-EL-A4K2-01	1.08491689529151e-18	xcell	formal_relative_enrichment
Chondrocytes	TCGA-EL-A4K2-01	0.0265859780924704	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
DC	TCGA-EL-A4K2-01	0.00408260619155889	xcell	formal_relative_enrichment
Endothelial cells	TCGA-EL-A4K2-01	0.178621093465867	xcell	formal_relative_enrichment
Eosinophils	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
Epithelial cells	TCGA-EL-A4K2-01	0.0723389116595949	xcell	formal_relative_enrichment
Erythrocytes	TCGA-EL-A4K2-01	1.77644801204143e-20	xcell	formal_relative_enrichment
Fibroblasts	TCGA-EL-A4K2-01	0.0291698230681321	xcell	formal_relative_enrichment
GMP	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
HSC	TCGA-EL-A4K2-01	0.257068792212941	xcell	formal_relative_enrichment
Hepatocytes	TCGA-EL-A4K2-01	0.00574136016383925	xcell	formal_relative_enrichment
Keratinocytes	TCGA-EL-A4K2-01	0.011858816587835	xcell	formal_relative_enrichment
MEP	TCGA-EL-A4K2-01	0.00474470531444051	xcell	formal_relative_enrichment
MPP	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
MSC	TCGA-EL-A4K2-01	5.21321463854714e-18	xcell	formal_relative_enrichment
Macrophages	TCGA-EL-A4K2-01	0.0567599550665886	xcell	formal_relative_enrichment
Macrophages M1	TCGA-EL-A4K2-01	0.0463239739634721	xcell	formal_relative_enrichment
Macrophages M2	TCGA-EL-A4K2-01	0.0382811944116638	xcell	formal_relative_enrichment
Mast cells	TCGA-EL-A4K2-01	0.0226118481993566	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-EL-A4K2-01	0.00239874445024727	xcell	formal_relative_enrichment
Melanocytes	TCGA-EL-A4K2-01	0.00489131118242015	xcell	formal_relative_enrichment
Memory B-cells	TCGA-EL-A4K2-01	2.92110055904232e-17	xcell	formal_relative_enrichment
Mesangial cells	TCGA-EL-A4K2-01	0.00180420733922002	xcell	formal_relative_enrichment
Monocytes	TCGA-EL-A4K2-01	2.18177611273938e-17	xcell	formal_relative_enrichment
Myocytes	TCGA-EL-A4K2-01	0.00348103491736085	xcell	formal_relative_enrichment
NK cells	TCGA-EL-A4K2-01	3.4182711002207e-19	xcell	formal_relative_enrichment
NKT	TCGA-EL-A4K2-01	0.0335993578845761	xcell	formal_relative_enrichment
Neurons	TCGA-EL-A4K2-01	0.00109642694543984	xcell	formal_relative_enrichment
Neutrophils	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
Osteoblast	TCGA-EL-A4K2-01	0.0520134348739843	xcell	formal_relative_enrichment
Pericytes	TCGA-EL-A4K2-01	0.0761004181168467	xcell	formal_relative_enrichment
Plasma cells	TCGA-EL-A4K2-01	0.0276925366003364	xcell	formal_relative_enrichment
Platelets	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-EL-A4K2-01	0.0232914670638466	xcell	formal_relative_enrichment
Sebocytes	TCGA-EL-A4K2-01	0.00690247196313522	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-EL-A4K2-01	4.02522876554004e-19	xcell	formal_relative_enrichment
Smooth muscle	TCGA-EL-A4K2-01	0.227817186310136	xcell	formal_relative_enrichment
Tgd cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
Th1 cells	TCGA-EL-A4K2-01	0.0158225017220986	xcell	formal_relative_enrichment
Th2 cells	TCGA-EL-A4K2-01	0.0227798499423024	xcell	formal_relative_enrichment
Tregs	TCGA-EL-A4K2-01	0.00613211575651679	xcell	formal_relative_enrichment
aDC	TCGA-EL-A4K2-01	0.252984936632205	xcell	formal_relative_enrichment
cDC	TCGA-EL-A4K2-01	0.0355522200262189	xcell	formal_relative_enrichment
iDC	TCGA-EL-A4K2-01	1.20284750525237e-18	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-EL-A4K2-01	0.0569579170687086	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-EL-A4K2-01	0.104592184438534	xcell	formal_relative_enrichment
naive B-cells	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
pDC	TCGA-EL-A4K2-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-EL-A4K2-01	1.43861229592592e-17	xcell	formal_relative_enrichment
ImmuneScore	TCGA-EL-A4K2-01	0.0556362729716695	xcell	formal_relative_enrichment
StromaScore	TCGA-EL-A4K2-01	0.103895458267	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-EL-A4K2-01	0.159531731238669	xcell	formal_relative_enrichment
Adipocytes	TCGA-BJ-A45J-01	0.0038864598290649	xcell	formal_relative_enrichment
Astrocytes	TCGA-BJ-A45J-01	0.0330524005625874	xcell	formal_relative_enrichment
B-cells	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
Basophils	TCGA-BJ-A45J-01	0.115015222061281	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-BJ-A45J-01	4.4526637531318e-18	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-BJ-A45J-01	2.20666609296238e-20	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-BJ-A45J-01	1.85836040147913e-18	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-BJ-A45J-01	6.36064135935644e-19	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-BJ-A45J-01	1.08610272953093e-17	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-BJ-A45J-01	1.13880911754955e-17	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-BJ-A45J-01	2.38441496021119e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-BJ-A45J-01	5.57490366140473e-19	xcell	formal_relative_enrichment
CLP	TCGA-BJ-A45J-01	0.0335471857586166	xcell	formal_relative_enrichment
CMP	TCGA-BJ-A45J-01	3.03927468741439e-18	xcell	formal_relative_enrichment
Chondrocytes	TCGA-BJ-A45J-01	0.0197939015858944	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
DC	TCGA-BJ-A45J-01	7.57981498301883e-19	xcell	formal_relative_enrichment
Endothelial cells	TCGA-BJ-A45J-01	0.13859771253966	xcell	formal_relative_enrichment
Eosinophils	TCGA-BJ-A45J-01	0.0123879420403345	xcell	formal_relative_enrichment
Epithelial cells	TCGA-BJ-A45J-01	0.241565085794911	xcell	formal_relative_enrichment
Erythrocytes	TCGA-BJ-A45J-01	1.04996726573701e-18	xcell	formal_relative_enrichment
Fibroblasts	TCGA-BJ-A45J-01	0.0405768771706966	xcell	formal_relative_enrichment
GMP	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
HSC	TCGA-BJ-A45J-01	0.252381137281268	xcell	formal_relative_enrichment
Hepatocytes	TCGA-BJ-A45J-01	0.00334811545444194	xcell	formal_relative_enrichment
Keratinocytes	TCGA-BJ-A45J-01	0.0407002641877705	xcell	formal_relative_enrichment
MEP	TCGA-BJ-A45J-01	0.0324338574055462	xcell	formal_relative_enrichment
MPP	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
MSC	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
Macrophages	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
Macrophages M1	TCGA-BJ-A45J-01	0.00539600916154677	xcell	formal_relative_enrichment
Macrophages M2	TCGA-BJ-A45J-01	1.14112554407715e-19	xcell	formal_relative_enrichment
Mast cells	TCGA-BJ-A45J-01	0.0155674832352033	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-BJ-A45J-01	0.0109309934384556	xcell	formal_relative_enrichment
Melanocytes	TCGA-BJ-A45J-01	0.00092482008681813	xcell	formal_relative_enrichment
Memory B-cells	TCGA-BJ-A45J-01	2.76016420536091e-19	xcell	formal_relative_enrichment
Mesangial cells	TCGA-BJ-A45J-01	0.0388342019945659	xcell	formal_relative_enrichment
Monocytes	TCGA-BJ-A45J-01	0	xcell	formal_relative_enrichment
Myocytes	TCGA-BJ-A45J-01	0.0175753655106033	xcell	formal_relative_enrichment
