gene_symbol	logFC	adj.P.Val	t	regulation
RP11-430C7.5	-4.46160835893502	4.93276137823361e-182	-38.7015277478047	Down
UBAP1L	-2.65167871863803	8.87657548876948e-182	-38.6570961977869	Down
MAN2C1	-2.4709459869432	8.97879924387564e-182	-38.6559809830234	Down
FAM193B	-2.55071502816184	9.46290938946142e-182	-38.6517796718725	Down
KIFC2	-2.55180992703537	1.14577203214693e-181	-38.6371481581109	Down
AFG3L1P	-2.14754882232466	1.2050119408036e-181	-38.6331072491179	Down
RP11-304F15.3	-3.02011228878654	1.76637464141007e-181	-38.6041142790097	Down
SLC25A27	-3.37304228750645	1.93877228980593e-181	-38.5968664352163	Down
CAPRIN2	-2.17403669994883	2.6753391520564e-181	-38.5724225665716	Down
SEMA6A-AS1	-2.809720186892	3.06236206046812e-181	-38.5620243023669	Down
RP11-1024P17.1	-2.82304493727603	3.41828698179752e-181	-38.5535174074077	Down
NPPA-AS1	-2.9727552163339	3.61415273974645e-181	-38.5490855594956	Down
HERC2P9	-2.52856077828985	3.78476234167559e-181	-38.5453376053826	Down
AC005519.4	-3.53482258064521	3.78476234167559e-181	-38.5451300934357	Down
AC016738.4	-4.67836109831036	5.20544942997112e-181	-38.5209489759099	Down
INHA	-3.54633154121868	8.73308244273261e-181	-38.4818565499237	Down
CKM	-6.91999400281628	9.39221070231334e-181	-38.4761517462109	Down
PLA2G4B	-3.29307963389662	1.07956456557534e-180	-38.4654562966171	Down
DDTL	-2.15628426139276	1.11391560453931e-180	-38.4628641547773	Down
RP11-574K11.24	-2.54933473502308	1.29578335985025e-180	-38.4512728653561	Down
TOP3B	-2.02661733870971	1.34220698754439e-180	-38.4483916384514	Down
RP11-531A24.5	-2.97892226062472	1.60257431354322e-180	-38.43484743439	Down
COL27A1	-3.65265220174096	1.95112306677785e-180	-38.4198424460454	Down
MSX1	-2.7444533026114	1.96410110982186e-180	-38.4191079305357	Down
RPL13AP3	5.57487483998982	3.56304526200812e-180	38.3741910445975	Up
RP11-44M6.7	-2.48699903993859	5.60238751957797e-180	-38.3400138786354	Down
PLIN4	-3.81017165898622	8.24354593179307e-180	-38.310820068445	Down
MMP25-AS1	-2.49995503712241	1.06799216381771e-179	-38.2911756632135	Down
C19orf71	-3.26197943548392	1.12398035609286e-179	-38.287112586121	Down
RP3-402G11.25	-2.65853020993347	1.42421429374415e-179	-38.2691364007949	Down
RP11-517C16.2	-4.46982130696371	1.53071346456667e-179	-38.2635003840738	Down
RP11-236L14.2	-4.44252066052234	2.02447380744665e-179	-38.2423196644897	Down
AGAP5	-2.39298039554535	3.04183919296455e-179	-38.2115861381178	Down
GDPD5	-2.49274027777781	3.99367106666243e-179	-38.1909643562706	Down
NSUN5P1	-2.55554631336409	4.17092176810534e-179	-38.1874832026043	Down
TICRR	-2.45325926139276	6.51735769243163e-179	-38.1538315231255	Down
AC008079.10	-2.79411632104457	6.92407974250368e-179	-38.1490717091721	Down
WDR90	-2.34452498719921	8.70152994062958e-179	-38.1317384479694	Down
MYO15B	-3.19797603686641	9.64419948902813e-179	-38.1238126983241	Down
WFIKKN1	-3.98227236943172	1.04456896344543e-178	-38.1176116244782	Down
ABCC2	-3.19276445852542	1.49518194922343e-178	-38.0903204508887	Down
RP11-436K8.1	-5.78734329237075	1.53358423662057e-178	-38.0881995379389	Down
DPY19L2	-3.6781220366104	1.62935969932423e-178	-38.0834436692249	Down
RP11-452D2.2	6.31475898617521	1.84160196647028e-178	38.0740589878657	Up
LA16c-358B7.3	-2.79795396825402	2.0745201286338e-178	-38.0649266611181	Down
SMPD3	-2.79260560675887	2.07848113067743e-178	-38.0645635427339	Down
RP11-419L20.2	-7.03681287762421	2.10621273074444e-178	-38.0633521041989	Down
RP4-555D20.2	-4.43230398105486	2.97667731889838e-178	-38.0372535639306	Down
FBXL8	-2.20594384920638	3.25760486516513e-178	-38.030288945196	Down
