collection	pathway	size	NES	pval	padj	abs_NES
Reactome	GLI3 is processed to GLI3R by the proteasome	45	2.23013265397119	8.31896447655424e-06	0.0001702060131903	2.23013265397119
Reactome	The role of GTSE1 in G2/M progression after G2 checkpoint	61	2.20636196924555	1.68087175447762e-06	3.88921723177747e-05	2.20636196924555
Reactome	Degradation of GLI2 by the proteasome	45	2.20056640803386	1.11417171364441e-05	0.000217104316772996	2.20056640803386
Reactome	Mitochondrial translation termination	102	2.19531090632358	4.58001128069374e-09	1.58825475937278e-07	2.19531090632358
Reactome	SCF-beta-TrCP mediated degradation of Emi1	41	2.19510807328946	2.42030630358718e-05	0.000450176972467215	2.19510807328946
Reactome	Maturation of DENV proteins	51	2.19273029098433	6.6605406017586e-06	0.000137651172436344	2.19273029098433
Reactome	Processing of antigen in germinal center B cells	87	2.18106455456404	1.41658687097229e-07	4.140481054299e-06	2.18106455456404
Reactome	Respiratory syncytial virus (RSV) genome replication, transcription and translation	17	2.16700549551258	0.00210849571750568	0.0241004594302605	2.16700549551258
Reactome	Negative Regulation of DNA Double Strand Break Response	41	2.16393080276576	3.33006679763772e-05	0.000602948377696175	2.16393080276576
Reactome	Negative regulation of NOTCH4 signaling	43	2.15624333869734	1.07681934818166e-05	0.000211843498690354	2.15624333869734
Reactome	Condensation of Prometaphase Chromosomes	11	2.15467624030104	0.00159487646087887	0.0187976110399235	2.15467624030104
Reactome	Mitochondrial translation	111	2.15020361217661	4.83371267683633e-09	1.64829602280119e-07	2.15020361217661
Reactome	G2/M Checkpoints	117	2.14355122438983	2.60342302886291e-09	9.34491845097106e-08	2.14355122438983
Reactome	Tight junction interactions	26	2.1356824664532	0.00025131722139811	0.00354617966330082	2.1356824664532
Reactome	Dectin-1 mediated noncanonical NF-kB signaling	48	2.12463216826802	4.09624520324481e-05	0.000728775450942512	2.12463216826802
Reactome	FCGR3A-mediated IL10 synthesis	107	2.11675855288611	2.92894255706052e-08	9.07972192688762e-07	2.11675855288611
Reactome	PD-L1(CD274) glycosylation and translocation to plasma membrane	21	2.11393417219656	0.00118881811907908	0.0145648016265616	2.11393417219656
Reactome	Apoptotic cleavage of cell adhesion  proteins	9	2.09326009604652	0.00301746119481424	0.0323231707046593	2.09326009604652
Reactome	Nef mediated downregulation of MHC class I complex cell surface expression	10	2.08134506174072	0.00265805457713247	0.0292386003484572	2.08134506174072
Reactome	Maturation of hRSV A proteins	14	2.08017770216681	0.00208369908771478	0.0239508333340699	2.08017770216681
Reactome	Hh mutants abrogate ligand secretion	44	2.0707201720903	5.08250937738996e-05	0.000878599308566266	2.0707201720903
Reactome	Activation of BH3-only proteins	30	2.05890055469357	0.000175072973579427	0.00259564713002541	2.05890055469357
Reactome	Downstream TCR signaling	87	2.05846839727543	1.15264005095262e-06	2.77447240499889e-05	2.05846839727543
Reactome	Initial triggering of complement	91	2.05759635981719	2.78816542384866e-07	7.70890061783021e-06	2.05759635981719
Reactome	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	41	2.04888902762478	0.000110565978990997	0.00175296626489661	2.04888902762478
Reactome	Antigen processing-Cross presentation	95	2.04877307210959	1.84666391215757e-07	5.24760328371443e-06	2.04877307210959
Reactome	Stabilization of p53	42	2.04206393639206	8.86177382971291e-05	0.00145049514044741	2.04206393639206
Reactome	Folding of actin by CCT/TriC	10	2.03701530277018	0.00333370297373382	0.035524772313851	2.03701530277018
Reactome	Degradation of AXIN	41	2.03136134824469	0.000147992530139427	0.00224290901233532	2.03136134824469
Reactome	Polo-like kinase mediated events	16	2.0253811448682	0.00250542779049796	0.0280115041495017	2.0253811448682
Reactome	AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)	53	2.02450800242073	4.39945272205819e-05	0.000775972437011298	2.02450800242073
Reactome	Prefoldin mediated transfer of substrate  to CCT/TriC	27	2.0241685102683	0.000942177810009011	0.0119732658340276	2.0241685102683
Reactome	S Phase	148	2.01884569603811	4.37004777088577e-10	1.68700334702496e-08	2.01884569603811
Reactome	Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A	50	2.01818976090798	5.15307512355581e-05	0.000878599308566266	2.01818976090798
Reactome	p53-Independent G1/S DNA Damage Checkpoint	50	2.01818976090798	5.15307512355581e-05	0.000878599308566266	2.01818976090798
Reactome	Cyclin E associated events during G1/S transition	72	2.01106562807257	2.42016974474509e-06	5.38224706277006e-05	2.01106562807257
