sample	condition	source
GTEX-11P81-0126-SM-5HL5Y	Normal	GTEx
GTEX-11GSO-0626-SM-5A5LW	Normal	GTEx
GTEX-UPIC-0226-SM-3GADO	Normal	GTEx
GTEX-13IVO-0926-SM-5KLZP	Normal	GTEx
GTEX-145MI-1126-SM-5O9AK	Normal	GTEx
GTEX-OXRO-1226-SM-48TDL	Normal	GTEx
GTEX-13NZ8-0226-SM-5J2OK	Normal	GTEx
GTEX-11EQ8-0826-SM-5N9FG	Normal	GTEx
GTEX-SUCS-0226-SM-5CHQG	Normal	GTEx
TCGA-EM-A3O9-01	THCA	TCGA
TCGA-BJ-A28W-01	THCA	TCGA
TCGA-ET-A40P-01	THCA	TCGA
TCGA-DJ-A13R-01	THCA	TCGA
TCGA-DJ-A2Q9-01	THCA	TCGA
TCGA-EL-A3CR-01	THCA	TCGA
TCGA-EL-A3CO-01	THCA	TCGA
TCGA-EL-A3ZO-01	THCA	TCGA
TCGA-EL-A3CY-01	THCA	TCGA
TCGA-DJ-A2Q1-01	THCA	TCGA
TCGA-EL-A3H5-01	THCA	TCGA
TCGA-EL-A3ZM-01	THCA	TCGA
TCGA-EM-A3O3-01	THCA	TCGA
TCGA-FK-A3SG-01	THCA	TCGA
TCGA-EM-A3FM-01	THCA	TCGA
TCGA-EL-A3T9-01	THCA	TCGA
TCGA-ET-A2N0-01	THCA	TCGA
TCGA-FY-A3WA-01	THCA	TCGA
TCGA-CE-A27D-01	THCA	TCGA
TCGA-FY-A3I5-01	THCA	TCGA
TCGA-BJ-A45E-01	THCA	TCGA
TCGA-DJ-A4UP-01	THCA	TCGA
TCGA-4C-A93U-01	THCA	TCGA
TCGA-EL-A3GP-01	THCA	TCGA
TCGA-KS-A41L-01	THCA	TCGA
TCGA-EM-A3FQ-01	THCA	TCGA
TCGA-BJ-A2N9-01	THCA	TCGA
TCGA-DJ-A3VB-01	THCA	TCGA
TCGA-EM-A3AO-01	THCA	TCGA
TCGA-BJ-A3PR-01	THCA	TCGA
TCGA-FE-A23A-01	THCA	TCGA
TCGA-DJ-A3UW-01	THCA	TCGA
TCGA-ET-A4KN-01	THCA	TCGA
TCGA-EM-A4FQ-01	THCA	TCGA
TCGA-FE-A3PB-01	THCA	TCGA
TCGA-ET-A39K-01	THCA	TCGA
