variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	KEGG	KEGG_HEDGEHOG_SIGNALING_PATHWAY	-1.68595996040854	0.0172231833910035	21	0	
tcga_matched	voom_qw	KEGG	KEGG_HEMATOPOIETIC_CELL_LINEAGE	1.26590428128785	0.166299775201246	21	0	
tcga_matched	voom_qw	KEGG	KEGG_HISTIDINE_METABOLISM	-0.967127046563337	0.635847682298971	7	0	
tcga_matched	voom_qw	KEGG	KEGG_HOMOLOGOUS_RECOMBINATION	1.37827677051753	0.160736948489819	10	0	
tcga_matched	voom_qw	KEGG	KEGG_HUNTINGTONS_DISEASE	1.20873441538308	0.152921111435723	28	0	
tcga_matched	voom_qw	KEGG	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1.12255352054536	0.343704942400595	23	0	
tcga_matched	voom_qw	KEGG	KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.25286075364956	0.199247590808006	10	0	
tcga_matched	voom_qw	KEGG	KEGG_INSULIN_SIGNALING_PATHWAY	1.26185067716442	0.106767338632375	33	0	
tcga_matched	voom_qw	KEGG	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.67250912765248	0.0315087597849119	20	0	
tcga_matched	voom_qw	KEGG	KEGG_JAK_STAT_SIGNALING_PATHWAY	1.47007239319999	0.0321525600835946	38	0	
tcga_matched	voom_qw	KEGG	KEGG_LEISHMANIA_INFECTION	2.31827816730398	2.58373687669646e-06	42	0	
tcga_matched	voom_qw	KEGG	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2.25613769480117	4.34435870369653e-07	53	1	PECAM1
tcga_matched	voom_qw	KEGG	KEGG_LINOLEIC_ACID_METABOLISM	-0.646766866115227	0.936370785900354	9	0	
tcga_matched	voom_qw	KEGG	KEGG_LONG_TERM_DEPRESSION	-0.776402162519601	0.885055316370823	7	0	
tcga_matched	voom_qw	KEGG	KEGG_LONG_TERM_POTENTIATION	1.15151055134064	0.314953217708809	18	0	
tcga_matched	voom_qw	KEGG	KEGG_LYSINE_DEGRADATION	-1.9355698705221	0.00135793877344709	23	0	
tcga_matched	voom_qw	KEGG	KEGG_LYSOSOME	2.30535616866231	9.98549625034326e-08	55	0	
tcga_matched	voom_qw	KEGG	KEGG_MAPK_SIGNALING_PATHWAY	1.31966139514557	0.0345797968642507	42	0	
tcga_matched	voom_qw	KEGG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	-1.46460534565854	0.149407272727273	7	0	
tcga_matched	voom_qw	KEGG	KEGG_MELANOGENESIS	-0.790565557430206	0.885055316370823	22	0	
tcga_matched	voom_qw	KEGG	KEGG_MELANOMA	1.63388099562748	0.0302052858880902	17	0	
tcga_matched	voom_qw	KEGG	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-1.46405761008655	0.0904222174473571	8	0	
tcga_matched	voom_qw	KEGG	KEGG_MISMATCH_REPAIR	1.30491062307295	0.219367475415863	9	0	
tcga_matched	voom_qw	KEGG	KEGG_MTOR_SIGNALING_PATHWAY	-0.782139967905706	0.885055316370823	14	0	
tcga_matched	voom_qw	KEGG	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.30668725722996	8.43094580506246e-08	40	1	FCER1G
tcga_matched	voom_qw	KEGG	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-1.06382116463253	0.499679843690542	37	0	
tcga_matched	voom_qw	KEGG	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.5660422308213	0.00617715500825823	38	0	
tcga_matched	voom_qw	KEGG	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-1.06673317277967	0.514547869960559	8	0	
tcga_matched	voom_qw	KEGG	KEGG_NITROGEN_METABOLISM	-0.954050263116121	0.635847682298971	4	0	
tcga_matched	voom_qw	KEGG	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.04782485892602	0.50151494830277	19	0	
tcga_matched	voom_qw	KEGG	KEGG_NON_HOMOLOGOUS_END_JOINING	0.9749306777542	0.622620453743615	5	0	
tcga_matched	voom_qw	KEGG	KEGG_NON_SMALL_CELL_LUNG_CANCER	1.49470503220158	0.0497830516466184	18	0	
tcga_matched	voom_qw	KEGG	KEGG_NOTCH_SIGNALING_PATHWAY	2.04523869871271	0.000732673409308821	24	0	
tcga_matched	voom_qw	KEGG	KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.92229158455279	0.00174461349040231	18	0	
tcga_matched	voom_qw	KEGG	KEGG_N_GLYCAN_BIOSYNTHESIS	0.920195976014634	0.727823823106292	7	0	
tcga_matched	voom_qw	KEGG	KEGG_OLFACTORY_TRANSDUCTION	-1.21278911320119	0.32313925859852	10	0	
tcga_matched	voom_qw	KEGG	KEGG_ONE_CARBON_POOL_BY_FOLATE	1.86271442990834	0.0195033094249099	5	0	
tcga_matched	voom_qw	KEGG	KEGG_OOCYTE_MEIOSIS	1.33858866945204	0.0843510143121038	33	0	
tcga_matched	voom_qw	KEGG	KEGG_OTHER_GLYCAN_DEGRADATION	1.16337074522619	0.387014450102887	10	0	
tcga_matched	voom_qw	KEGG	KEGG_OXIDATIVE_PHOSPHORYLATION	0.65738758918366	1	40	0	
tcga_matched	voom_qw	KEGG	KEGG_O_GLYCAN_BIOSYNTHESIS	1.13746163560553	0.391715042264996	8	0	
tcga_matched	voom_qw	KEGG	KEGG_P53_SIGNALING_PATHWAY	2.45857473884138	3.60055745050493e-07	38	0	
tcga_matched	voom_qw	KEGG	KEGG_PANCREATIC_CANCER	1.88351400952386	0.00174695825261262	26	0	
tcga_matched	voom_qw	KEGG	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.723371630102283	0.885055316370823	4	0	
tcga_matched	voom_qw	KEGG	KEGG_PARKINSONS_DISEASE	0.55958289458621	1	12	0	
tcga_matched	voom_qw	KEGG	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2.14512164120377	0.000202084336230775	20	0	
tcga_matched	voom_qw	KEGG	KEGG_PATHWAYS_IN_CANCER	1.46018886517517	0.00248730603933138	101	0	
tcga_matched	voom_qw	KEGG	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-1.16929000305725	0.398596455656278	3	0	
tcga_matched	voom_qw	KEGG	KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.942024074443339	0.654547407534124	5	0	
tcga_matched	voom_qw	KEGG	KEGG_PEROXISOME	-0.734167522422037	0.934747788809196	28	0	
tcga_matched	voom_qw	KEGG	KEGG_PHENYLALANINE_METABOLISM	0.844573961919285	0.792970104646806	6	0	
tcga_matched	voom_qw	KEGG	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1.37892546241905	0.0843510143121038	25	0	
tcga_matched	voom_qw	KEGG	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-0.901442390681414	0.718337216784502	5	0	
tcga_matched	voom_qw	KEGG	KEGG_PPAR_SIGNALING_PATHWAY	-1.1867467376395	0.326337250573672	21	0	
tcga_matched	voom_qw	KEGG	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	-1.28400806748015	0.279708354076287	3	0	
tcga_matched	voom_qw	KEGG	KEGG_PRIMARY_IMMUNODEFICIENCY	-0.99006584771889	0.622620453743615	3	0	
tcga_matched	voom_qw	KEGG	KEGG_PRION_DISEASES	1.13302994197021	0.380107482430756	11	0	
tcga_matched	voom_qw	KEGG	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.18092754775938	0.247358656212294	24	0	
tcga_matched	voom_qw	KEGG	KEGG_PROPANOATE_METABOLISM	-1.97796564253292	0.00123498403519614	14	0	
tcga_matched	voom_qw	KEGG	KEGG_PROSTATE_CANCER	1.41735572846159	0.0579400543535069	26	0	
tcga_matched	voom_qw	KEGG	KEGG_PROTEASOME	2.56714352134995	8.33820892975089e-07	31	0	
tcga_matched	voom_qw	KEGG	KEGG_PROTEIN_EXPORT	-0.589489614401566	0.97507603856793	13	0	
tcga_matched	voom_qw	KEGG	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.812210677541308	0.839019457824618	7	0	
tcga_matched	voom_qw	KEGG	KEGG_PURINE_METABOLISM	1.56846208708504	0.00413920407324313	41	0	
tcga_matched	voom_qw	KEGG	KEGG_PYRIMIDINE_METABOLISM	1.90237853646576	0.000501305664830597	28	0	
tcga_matched	voom_qw	KEGG	KEGG_PYRUVATE_METABOLISM	-1.00927343317098	0.591188498830944	8	0	
tcga_matched	voom_qw	KEGG	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2.20149370753074	1.13864239024651e-08	79	0	
tcga_matched	voom_qw	KEGG	KEGG_REGULATION_OF_AUTOPHAGY	-0.888896902030683	0.727823823106292	6	0	
tcga_matched	voom_qw	KEGG	KEGG_RENAL_CELL_CARCINOMA	1.4279714332566	0.0620651978077542	17	0	
